CarType,Charge,Grids,Memo,Name,Period,Range,Region,id
C,20元/時，大型車加倍,0,,平等街,每日08:00~18:00,公園路~臺灣大道,中區,222
C,20元/時，大型車加倍,0,,平等街,每日08:00~18:00,臺灣大道~民權路,中區,223
C,20元/時，大型車加倍,0,,平順街,週一至週六08:00~18:00,復興路2段99巷18號~忠明南路,南區,224
C,20元/時，大型車加倍,0,,弘孝路,每日08:00~18:00,福星路~臺灣大道,西屯區,225
C,20元/時，大型車加倍,0,,正義街,週一至週六08:00~18:00,南門路~仁和路,南區,226
C,20元/時，大型車加倍,0,,正義街,每日08:00~20:00,信義南街~愛國街,南區,227
C,20元/時，大型車加倍,0,,民生路,週一至週六08:00~18:00,建國路~自由路,西區,228
C,20元/時，大型車加倍,0,,民生路,週一至週六08:00~18:00,自由路~三民路,西區,229
C,20元/時，大型車加倍,0,,民生路,週一至週六08:00~18:00,三民路~中華路,西區,230
C,20元/時，大型車加倍,0,,民生路,週一至週六08:00~18:00,中華路~五權路,西區,231
C,差別費率，15元/三十分鐘，大型車加倍,0,,民生路,每日08:00~20:00,英才路~美村路,西區,232
C,累進費率，以三十分鐘計費，大型車加倍,0,,民族路,每日08:00~18:00,建國路~綠川西街,中區,233
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,民族路,每日08:00~18:00,綠川西街~市府路,中區,234
C,20元/時，大型車加倍,0,,民族路,每日08:00~18:00,市府路~三民路,中區,235
C,20元/時，大型車加倍,0,,民族路,每日08:00~18:00,三民路~中華路,中區,236
C,20元/時，大型車加倍,0,,民權路,每日08:00~18:00,建國路~自由路,中、西區,237
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,民權路,每日08:00~18:00,自由路~三民路,中、西區,238
C,20元/時，大型車加倍,0,,民權路,每日08:00~18:00,三民路~中華路,中、西區,239
C,20元/時，大型車加倍,0,,民權路,每日08:00~18:00,中華路~五權路,中、北、西區,240
C,20元/時，大型車加倍,0,,民權路,每日08:00~18:00,五權路~臺灣大道,西區,241
C,20元/時，大型車加倍,0,,民權路,每日08:00~18:00,臺灣大道~忠明路,西、北區,242
C,20元/時，大型車加倍,0,,永南街,每日08:00~18:00,忠明南路~永東街,南區,243
C,20元/時，大型車加倍,0,,永春東一路,週一至週六08:00~18:00,文心南一路~文心南七路,南屯區,244
C,20元/時，大型車加倍,0,,永春東七路,每日08:00~20:00,干城街~五權西路,南屯區,245
C,20元/時，大型車加倍,0,,永春東七路738巷,每日08:00~20:00,三厝街~永春東七路,南屯區,246
C,20元/時，大型車加倍,0,,永春東二路,週一至週六08:00~18:00,文心南三路~永順路,南屯區,247
C,20元/時，大型車加倍,0,,永春東三路,週一至週六08:00~18:00,永春東路~永順路,南屯區,248
C,累進費率，以三十分鐘計費，大型車加倍,0,,永春東路,每日08:00~20:00,大墩南路~文心南路,南屯區,249
C,20元/時，大型車加倍,0,,永春東路,週一至週六08:00~18:00,精誠南路~大墩南路,南屯區,250
C,20元/時，大型車加倍,0,,永春東路,週一至週六08:00~18:00,文心南路~黎明路,南屯區,251
C,20元/時，大型車加倍,0,,永康路,週一至週六08:00~18:00,安康路~保康路,豐原區,252
C,20元/時，大型車加倍,0,,永福路,每日08:00~18:00,西屯路~臺灣大道,西屯區,253
C,20元/時，大型車加倍,0,,玉成路,每日08:00~18:00,玉寶路~協和北巷,西屯區,254
C,20元/時，大型車加倍,0,,玉門路,每日08:00~18:00,國安二路~臺灣大道,西屯區,255
C,20元/時，大型車加倍,0,,玉寶路,每日08:00~18:00,福玄路~朝馬路,西屯區,256
C,20元/時，大型車加倍,0,,甘肅路,每日08:00~20:00,漢口路~文心路,西屯區,257
C,20元/時，大型車加倍,0,,立德東街、立德街,週一至週六08:00~18:00,大里區界~建成路,東區,258
C,20元/時，大型車加倍,0,,立德街,週一至週六08:00~18:00,信義街~立德街67巷,東區,259
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,光復路,每日08:00~18:00,綠川西街~市府路,中區,260
C,20元/時，大型車加倍,0,,光復路,每日08:00~18:00,市府路~三民路,中區,261
